,v1_strategy,v2_strategy,benchmark
2025-09-22,-0.06039669780971253,-0.06039669780971253,-0.04717954965231007
2025-09-23,-0.012062785313635322,-0.012062785313635322,-0.0072811351711116745
2025-09-24,0.002510756940203196,0.002510756940203196,0.0008680752280558869
2025-09-25,-0.06685562939119416,-0.06685562939119416,-0.06602700294314086
2025-09-26,0.04349030505308208,0.04349030505308208,0.030921494963184262
2025-09-27,-0.008333071066954911,-0.008333071066954911,-0.0038555462537247067
2025-09-28,0.033463968900984055,0.033463968900984055,0.029515441231220452
2025-09-29,0.00659182721814037,0.00659182721814037,0.010578751871970205
2025-09-30,-0.012575875118195466,-0.012575875118195466,-0.01262212866978931
2025-10-01,0.033211597658154325,0.033211597658154325,0.047122578909288795
2025-10-02,0.02724507232028365,0.02724507232028365,0.03296275006429228
2025-10-03,0.03030638700571005,0.03030638700571005,0.01080841261572063
2025-10-04,-0.031265377046586273,-0.031265377046586273,-0.020180414295285144
2025-10-05,0.00326314347914806,0.00326314347914806,-0.0004242521636332098
2025-10-06,0.0443275586072207,0.0443275586072207,0.030268756791559975
2025-10-07,-0.028005555204293965,-0.028005555204293965,-0.038183295695402526
2025-10-08,0.021031195693267536,0.021031195693267536,0.019145914500784404
2025-10-09,-0.026887795548784954,-0.026887795548784954,-0.01862081010981538
2025-10-10,-0.1999201050612162,-0.1999201050612162,-0.1822787853879917
2025-10-11,0.018290727290824333,0.018290727290824333,-0.0059637630356366485
2025-10-12,0.10139688803417135,0.10139688803417135,0.0874636830546164
2025-10-13,0.030366174936397074,0.030366174936397074,0.028247425031789307
2025-10-14,-0.048791549497774714,-0.048791549497774714,-0.03604666410796435
2025-10-15,-0.04412725225758918,-0.04412725225758918,-0.03640557530708276
2025-10-16,-0.03153730371810193,-0.03153730371810193,-0.03369784215594727
2025-10-17,-0.05263682817045238,-0.05313682817045238,-0.030934645383944408
2025-10-18,0.0149726760619433,0.0,0.01736964591820718
2025-10-19,0.020449321308703212,-0.0005,0.018423241835090164
2025-10-20,0.020223163960887636,0.020223163960887636,0.018256997376640004
2025-10-21,-0.04467311226184471,-0.04467311226184471,-0.03005296032890156
2025-10-22,-0.012554855238688451,-0.013054855238688452,-0.018315994915931555
2025-10-23,0.0233835779615185,-0.0005,0.02615678705684641
2025-10-24,0.009629879740303937,0.009629879740303937,0.01868262232906749
2025-10-25,0.008823529116824602,0.008823529116824602,0.008331025793650505
2025-10-26,0.03466834829493555,0.03466834829493555,0.03352413719859962
2025-10-27,-0.01333268114216753,-0.01333268114216753,-0.010599973881048587
2025-10-28,-0.03125272606608923,-0.03125272606608923,-0.025598105982955578
2025-10-29,0.009031108478159355,0.009031108478159355,-0.0021044324918057192
2025-10-30,-0.058466245598324244,-0.058966245598324245,-0.049157070456540816
2025-10-31,0.012281598317072762,-0.0005,0.014310331134730792
2025-11-01,0.0018091406223526008,0.0018091406223526008,0.012796493923611688
2025-11-02,0.0011980812242540955,0.0011980812242540955,0.004548695390421298
2025-11-03,-0.07912898212887387,-0.07962898212887387,-0.10070477034508897
2025-11-04,-0.05530813501940979,0.0,-0.04710068662782837
2025-11-05,0.030754521714417317,0.0,0.0419186247503958
2025-11-06,-0.027430326477010193,0.0,-0.029342231710497102
2025-11-07,0.03562237856736128,0.0,0.08334808963036164
2025-11-08,-0.011059120624871206,0.0,-0.005279538070748835
2025-11-09,0.023474503657794427,0.0,0.02547120491198415
2025-11-10,0.00841067712961548,0.0,0.011575503597475657
2025-11-11,-0.046231114342836145,0.0,-0.05313558377196771
2025-11-12,-0.008963280618187887,0.0,-0.013497909167873889
2025-11-13,-0.03291009042723503,0.0,-0.030573679166518854
2025-11-14,-0.03706910642622785,0.0,-0.03794296278365091
2025-11-15,0.012281304042280079,0.0,0.01651103648732066
2025-11-16,-0.011975980910853057,0.0,-0.022808624332875952
2025-11-17,-0.030425817398134804,0.0,-0.03464644403471945
2025-11-18,0.03778915342945758,0.0,0.03160246226038717
2025-11-19,-0.02784610520443731,0.0,-0.028323711376821416
2025-11-20,-0.036433549115879295,0.0,-0.04825367921643746
2025-11-21,-0.032407791747365744,0.0,-0.04274648432400477
2025-11-22,-0.002881217220479737,0.0,-0.004104367855909918
2025-11-23,0.020684062468683997,0.0,0.015148000026707333
2025-11-24,0.03355796582990981,0.0,0.043936448245947224
2025-11-25,-0.0031467196970443863,0.0,-0.002806496558954375
2025-11-26,0.03347546251180018,0.0,0.029331130948122078
2025-11-27,-0.0008006855484413346,0.0,-0.002948812355890485
2025-11-28,-0.012461761245887604,0.0,-0.014802322211013798
2025-11-29,-0.008663290372405059,0.0,-0.010549979571591194
2025-11-30,-0.006693893946478197,0.0,-0.010814986992764399
2025-12-01,-0.054135857696089085,0.0,-0.0631172266079554
2025-12-02,0.05986370177562198,0.0,0.0823121107231282
2025-12-03,0.03211516452928054,0.0,0.05088698722056745
2025-12-04,-0.028638130767360694,0.0,-0.0294603056656928
2025-12-05,-0.025299319697978342,0.0,-0.04322976567698801
2025-12-06,0.0011390478534058686,0.0,0.004848366826766881
2025-12-07,0.007304161625386681,0.0,-0.000425364673329487
2025-12-08,0.00704284064789055,0.0,0.01589011897883246
2025-12-09,0.013671397250413367,0.0,0.04466489531629625
2025-12-10,-0.014243745842896782,0.0,-0.019968945578475696
2025-12-11,-0.0026631091035239267,0.0,-0.022872650800951924
2025-12-12,-0.01400865536968369,0.0,-0.02490331611710487
2025-12-13,0.008450243795003438,0.0,0.008443612061011817
2025-12-14,-0.022490213869904425,0.0,-0.029195032918940322
2025-12-15,-0.027526647868223415,0.0,-0.02682858850391673
2025-12-16,0.01735544812479417,0.0,0.008049852146961935
2025-12-17,-0.030416248627852673,0.0,-0.04132987761862553
2025-12-18,-0.017704417142006136,0.0,-0.023470805054625836
2025-12-19,0.039376859593021576,0.0,0.05145591016322038
2025-12-20,0.004362422856035238,0.0,-0.0005396701728146215
2025-12-21,0.0009368088428985952,0.0,-0.0054699529917175424
2025-12-22,-0.0038460187671133976,0.0,0.00295523858530462
2025-12-23,-0.014772786686123585,0.0,-0.014024941583264505
2025-12-24,-0.00033496455542577274,0.0,-0.008258548065146743
2025-12-25,-0.013320273473517014,0.0,-0.01631737416717919
2025-12-26,0.004179514897141301,0.0,0.012822101296213686
2025-12-27,0.011474931655768664,0.0,0.032835061774938695
2025-12-28,0.00425010746600359,0.0,-0.004445712838692473
2025-12-29,-0.008587875018539415,0.0,-0.014532174457360226
2025-12-30,0.013619964306693506,0.0,0.008956093234719098
2025-12-31,-0.009072074160051844,0.0,-0.015916596633351744
2026-01-01,0.00832835472329337,0.0,0.042352328617521966
2026-01-02,0.02520559163587895,0.0,0.04713103479523246
2026-01-03,0.0017655243434630723,0.0,0.0006093424498585635
2026-01-04,0.010531549399907561,0.0,0.0137295464756928
2026-01-05,0.024183133529232403,0.0,0.038586926796238055
2026-01-06,0.009127542138903247,0.0,0.006108548051961038
2026-01-07,-0.028239793662095388,0.0,-0.036659038032684645
2026-01-08,-0.010439194195066781,0.0,-0.010552571492171581
2026-01-09,-0.002784362250651225,0.0,-0.00811388067341119
2026-01-10,0.0034258009606358275,0.0,-8.686060017293291e-06
2026-01-11,0.004334966212733548,0.0,-0.00023784851450960878
2026-01-12,-0.0005124215636119014,0.0,-0.008532185272534675
2026-01-13,0.05349688464861583,0.0,0.06565426658709356
2026-01-14,0.011246808678422832,0.0,-0.0029062063596603134
2026-01-15,-0.014880161183351965,0.0,-0.034167300116339894
2026-01-16,0.00011907768044542655,0.0,0.00420348879807242
2026-01-17,0.0032520429994141726,0.0,0.0035200373988633076
2026-01-18,-0.013014937698142584,0.0,-0.03335563096811042
2026-01-19,-0.017060400857650777,0.0,-0.019820782026578367
2026-01-20,-0.05520301012932127,0.0,-0.0550828635284292
2026-01-21,0.008142267469947432,0.0,0.022361400709249024
2026-01-22,-0.001289021568054105,0.0,-0.009029103548779293
2026-01-23,0.0019896204344430992,0.0,-0.0007705462523269648
2026-01-24,-0.003690246545034655,0.0,-0.0027803243375851276
2026-01-25,-0.03258155621133255,0.0,-0.04297565380582138
2026-01-26,0.025016530226094513,0.0,0.03231949462082604
2026-01-27,0.021238915166126006,0.0,0.01620259411819338
2026-01-28,-4.6468533100973985e-05,0.0,-0.00588371458696142
